Method,Distance,Path
Dijkstra,184.0,Blagodarnyy->Budonnovsk->Zelenokumsk->Georgievsk
Floyd–Warshall,184.0,Blagodarnyy->Budonnovsk->Zelenokumsk->Georgievsk
